               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0491,             0.02744,            0.013064,              0.5312,             0.55879,             0.56642,             0.33053,            0.025861,           0.0091489,           0.0038961,            0.070013,           0.0033319,           0.0033319
                   1,            0.035657,            0.022119,           0.0039745,             0.66515,             0.67664,             0.67313,              0.4303,            0.021586,           0.0088173,           0.0020717,            0.039903,           0.0065552,           0.0065552
                   2,            0.034456,            0.022439,           0.0038053,             0.68943,             0.64124,             0.67634,             0.41722,            0.022593,            0.009256,           0.0018648,           0.0096831,           0.0096686,           0.0096686
                   3,            0.033141,            0.022529,           0.0036047,               0.787,             0.64591,             0.73829,             0.49369,            0.022341,           0.0095212,           0.0016896,            0.009505,            0.009505,            0.009505
                   4,            0.030964,            0.021885,           0.0029348,             0.78169,             0.72256,             0.78873,             0.52809,            0.019449,           0.0080308,           0.0010286,            0.009505,            0.009505,            0.009505
                   5,            0.028943,            0.020702,           0.0021591,             0.79915,             0.74092,             0.80368,             0.55553,            0.018597,           0.0079287,          0.00073193,             0.00934,             0.00934,             0.00934
                   6,            0.028002,            0.020217,           0.0019772,             0.85782,             0.78353,             0.86073,             0.61166,            0.017231,           0.0072343,          0.00057967,            0.009175,            0.009175,            0.009175
                   7,            0.027233,            0.019756,           0.0018974,             0.82095,             0.76367,             0.84381,              0.6129,            0.017153,           0.0072612,          0.00060826,             0.00901,             0.00901,             0.00901
                   8,            0.026458,            0.019356,           0.0016906,             0.83336,             0.81496,             0.86684,             0.63185,            0.016041,           0.0069034,           0.0005204,            0.008845,            0.008845,            0.008845
                   9,            0.026291,            0.019137,           0.0016448,             0.83218,             0.80971,             0.86776,             0.63518,            0.016072,           0.0067309,          0.00054262,             0.00868,             0.00868,             0.00868
                  10,            0.025682,            0.018925,           0.0014203,             0.86241,             0.83349,             0.89175,             0.65808,            0.015241,           0.0065231,          0.00038952,            0.008515,            0.008515,            0.008515
                  11,            0.025245,            0.018522,            0.001294,             0.85752,             0.85078,             0.89704,              0.6636,            0.015029,           0.0064715,          0.00043031,             0.00835,             0.00835,             0.00835
                  12,            0.024739,            0.018185,           0.0011289,             0.85972,             0.86857,             0.90505,              0.6807,             0.01468,           0.0061631,          0.00033493,            0.008185,            0.008185,            0.008185
                  13,            0.024394,            0.018077,           0.0012785,             0.88357,              0.8289,             0.90363,             0.69025,            0.014375,             0.00608,          0.00035981,             0.00802,             0.00802,             0.00802
                  14,            0.024141,            0.017968,           0.0012352,             0.87183,             0.84811,             0.90556,             0.68109,            0.014378,           0.0060974,          0.00031823,            0.007855,            0.007855,            0.007855
                  15,            0.024127,            0.018056,           0.0012097,             0.87156,             0.85831,             0.90652,             0.69754,            0.014427,           0.0060422,          0.00028247,             0.00769,             0.00769,             0.00769
                  16,            0.023674,            0.017747,           0.0010305,             0.87884,             0.87548,             0.91713,             0.71478,            0.013694,            0.005795,          0.00024603,            0.007525,            0.007525,            0.007525
                  17,            0.023448,            0.017489,          0.00090994,             0.88928,              0.8582,             0.91909,             0.71595,            0.013469,           0.0056994,          0.00022637,             0.00736,             0.00736,             0.00736
                  18,            0.023647,            0.017374,           0.0011429,              0.8883,             0.88026,             0.93023,             0.72783,            0.013371,            0.005686,          0.00024457,            0.007195,            0.007195,            0.007195
                  19,            0.023326,            0.017397,           0.0010761,             0.87293,             0.88632,             0.92185,             0.72049,            0.013358,           0.0056864,          0.00024621,             0.00703,             0.00703,             0.00703
                  20,            0.022902,             0.01707,          0.00099347,              0.8876,             0.89593,             0.93126,             0.72762,            0.012965,           0.0055344,           0.0002257,            0.006865,            0.006865,            0.006865
                  21,            0.022564,            0.016824,          0.00089451,             0.89769,             0.88864,             0.93771,             0.73321,            0.012833,           0.0054592,          0.00020264,              0.0067,              0.0067,              0.0067
                  22,            0.022335,             0.01664,          0.00079655,             0.90293,             0.89358,             0.93819,             0.73935,            0.012688,           0.0053252,           0.0001802,            0.006535,            0.006535,            0.006535
                  23,            0.022174,            0.016767,          0.00078154,             0.91283,             0.90127,             0.94502,             0.74197,            0.012473,           0.0052786,          0.00016785,             0.00637,             0.00637,             0.00637
                  24,            0.022129,            0.016541,          0.00064757,             0.90579,             0.90654,             0.94572,             0.75639,            0.012236,           0.0051604,           0.0001736,            0.006205,            0.006205,            0.006205
                  25,            0.021909,            0.016301,           0.0006516,             0.92307,              0.9132,             0.95041,             0.76077,            0.012135,           0.0051126,          0.00016796,             0.00604,             0.00604,             0.00604
                  26,            0.021626,            0.016275,          0.00068329,             0.90774,              0.9151,             0.94654,             0.75865,            0.012156,           0.0050689,          0.00014445,            0.005875,            0.005875,            0.005875
                  27,            0.021587,            0.016085,          0.00068547,              0.9131,             0.91954,             0.95011,              0.7654,            0.011909,           0.0049863,          0.00013482,             0.00571,             0.00571,             0.00571
                  28,            0.021047,            0.015752,          0.00048439,             0.91757,             0.92691,             0.95357,                0.77,            0.011666,           0.0048971,          0.00012779,            0.005545,            0.005545,            0.005545
                  29,            0.021237,             0.01598,          0.00052829,             0.91029,             0.92763,             0.95278,             0.77174,            0.011628,           0.0048478,          0.00012478,             0.00538,             0.00538,             0.00538
                  30,            0.021117,            0.015754,          0.00062471,             0.91079,             0.92742,             0.95246,             0.77613,            0.011438,            0.004822,          0.00012689,            0.005215,            0.005215,            0.005215
                  31,            0.020727,            0.015729,          0.00059882,             0.91495,             0.93062,             0.95433,             0.77736,             0.01138,           0.0047792,          0.00011167,             0.00505,             0.00505,             0.00505
                  32,            0.020541,            0.015781,          0.00061715,             0.91583,             0.92453,             0.95455,             0.77934,            0.011243,           0.0047476,          0.00010306,            0.004885,            0.004885,            0.004885
                  33,            0.020486,             0.01553,          0.00051903,             0.92103,             0.93147,             0.95866,              0.7839,            0.011107,           0.0046698,          9.1643e-05,             0.00472,             0.00472,             0.00472
                  34,            0.020287,            0.015407,          0.00060302,             0.91849,             0.92912,               0.955,             0.77981,            0.011011,           0.0046598,          8.5764e-05,            0.004555,            0.004555,            0.004555
                  35,            0.020323,            0.015391,           0.0005104,             0.92072,             0.92394,             0.95386,             0.78168,            0.010918,            0.004618,          7.8226e-05,             0.00439,             0.00439,             0.00439
                  36,             0.02008,            0.015167,          0.00058452,             0.92197,             0.93589,             0.96016,             0.78844,            0.010815,           0.0045544,          7.2406e-05,            0.004225,            0.004225,            0.004225
                  37,            0.019948,            0.014968,          0.00053316,             0.91998,             0.94231,             0.96162,             0.79026,            0.010745,           0.0045222,            7.68e-05,             0.00406,             0.00406,             0.00406
                  38,            0.019811,            0.015016,          0.00041122,              0.9279,             0.93598,             0.96141,             0.79299,            0.010684,           0.0044857,          7.5773e-05,            0.003895,            0.003895,            0.003895
                  39,            0.019647,            0.014848,          0.00046737,             0.92328,             0.94235,             0.96047,             0.79521,            0.010645,           0.0044562,          6.8193e-05,             0.00373,             0.00373,             0.00373
                  40,            0.019392,            0.014836,          0.00061943,             0.93014,             0.94397,             0.96317,             0.79884,            0.010549,           0.0044121,          6.5062e-05,            0.003565,            0.003565,            0.003565
                  41,             0.01946,            0.014703,          0.00042881,             0.92963,             0.94313,             0.96434,             0.80084,            0.010469,           0.0043838,          6.1103e-05,              0.0034,              0.0034,              0.0034
                  42,            0.019217,            0.014707,          0.00051528,             0.93145,             0.94138,             0.96485,             0.80412,            0.010356,           0.0043567,          5.7913e-05,            0.003235,            0.003235,            0.003235
                  43,            0.019124,            0.014524,          0.00038209,             0.93226,             0.94098,              0.9655,             0.80688,            0.010309,           0.0043307,           5.288e-05,             0.00307,             0.00307,             0.00307
                  44,            0.018801,            0.014311,          0.00036976,             0.92976,             0.94596,             0.96631,              0.8073,            0.010249,           0.0042995,          4.9682e-05,            0.002905,            0.002905,            0.002905
                  45,            0.018518,            0.014169,          0.00035946,             0.93428,             0.94582,             0.96747,             0.80928,            0.010186,           0.0042727,          4.8414e-05,             0.00274,             0.00274,             0.00274
                  46,            0.018931,            0.014102,          0.00034149,             0.93708,             0.94614,             0.96801,             0.81161,            0.010108,           0.0042424,          4.6156e-05,            0.002575,            0.002575,            0.002575
                  47,            0.018351,             0.01402,          0.00028809,             0.93831,             0.94849,             0.96945,             0.81293,            0.010053,           0.0042114,          4.4941e-05,             0.00241,             0.00241,             0.00241
                  48,            0.018399,            0.014011,          0.00039172,              0.9423,             0.94604,             0.96986,             0.81391,           0.0099997,           0.0041871,          4.3255e-05,            0.002245,            0.002245,            0.002245
                  49,            0.017884,            0.013723,          0.00034978,             0.94344,             0.94356,             0.96998,             0.81596,           0.0099505,           0.0041641,          4.1857e-05,             0.00208,             0.00208,             0.00208
                  50,            0.017933,            0.013916,          0.00025642,             0.94346,             0.94673,             0.97015,             0.81678,            0.009905,           0.0041423,          4.0732e-05,            0.001915,            0.001915,            0.001915
                  51,            0.017803,            0.013663,          0.00027989,             0.94524,             0.94654,             0.97028,             0.81781,           0.0098591,           0.0041205,          3.9698e-05,             0.00175,             0.00175,             0.00175
                  52,            0.017549,            0.013558,          0.00021995,             0.94525,             0.94539,             0.97035,             0.81938,           0.0098187,            0.004101,          3.8613e-05,            0.001585,            0.001585,            0.001585
                  53,            0.017344,            0.013471,          0.00016652,             0.94157,              0.9477,             0.97072,             0.82066,           0.0097789,           0.0040827,          3.7528e-05,             0.00142,             0.00142,             0.00142
                  54,             0.01728,            0.013373,          0.00024116,             0.93858,             0.95035,             0.97077,             0.82145,           0.0097444,           0.0040651,          3.5967e-05,            0.001255,            0.001255,            0.001255
                  55,            0.016934,            0.013174,          0.00017175,             0.93736,             0.95391,             0.97126,             0.82214,           0.0097108,           0.0040499,          3.4668e-05,             0.00109,             0.00109,             0.00109
                  56,            0.016906,             0.01309,          0.00020642,             0.93801,             0.95525,             0.97168,             0.82287,           0.0096757,           0.0040342,          3.3509e-05,            0.000925,            0.000925,            0.000925
                  57,            0.016701,            0.012986,          0.00020553,             0.93792,             0.95541,             0.97161,              0.8232,           0.0096464,           0.0040202,          3.2347e-05,             0.00076,             0.00076,             0.00076
                  58,            0.016749,            0.012983,          0.00018425,             0.93939,             0.95431,             0.97182,             0.82354,           0.0096173,            0.004006,          3.1311e-05,            0.000595,            0.000595,            0.000595
                  59,            0.016476,            0.012907,          0.00019454,             0.94208,             0.95375,             0.97224,             0.82375,            0.009594,           0.0039939,          3.0301e-05,             0.00043,             0.00043,             0.00043
